listing_id,fuel_tank_volume
180687795,
252173210,
273251405,
247931886,
119449303,
229093707,
274446901,
281665252,
277023863,
279268964,
246931484,
281381831,
270942973,
281048748,
212761642,
281460587,
275037485,
278376726,
276667381,16
257231329,13
259116540,18
260722766,16
279159527,15.9
279696611,15
280886555,16.9
277912235,16.9
277601733,16.9
271220953,16.9
280713200,16.9
280810202,16.9
274077813,16.9
268217631,16.9
271876661,16.9
281144139,16.9
280755459,16.9
275895246,16.9
279233778,16.9
266013168,16.9
280040764,16.9
273555957,16.9
281599171,16
279268899,16
277535535,16
277250327,16
277285539,16
260569702,16
281111836,16
279902950,16
277147923,16
270610018,16
280278313,16
278053780,16
277541026,16.9
280602557,16.9
267101509,16.9
279533644,16.9
277301335,16.9
280920602,16.9
276866169,16.9
278988914,16.9
280052927,16.9
278157743,16.9
278558146,16.9
281118970,16.9
279790593,15.9
281170028,15.9
280453489,15.9
277165924,
281101939,15
256339426,15
279670330,15
281460052,15
272643013,15.7
267293354,15
280653598,15
280019014,15
250142668,15
273830508,15
280886916,15
280140644,15
281432530,15
280802341,15
280763821,15
280247711,15
259410025,15
254372294,15
279749095,18
280333712,18
280363671,18
274079476,18
273536850,18
255945287,18
280685824,18
279219000,18
275250358,18
275939857,18
212562093,18
280352063,18
280884137,18
280885661,18
271468675,18
275790621,18
275061673,18
280934736,18
238567371,18
267840240,18
240311811,18
268088892,18
280101141,18
259150042,18
274611422,18
276588479,18
275224559,15
277214603,15
276380049,15
275827696,16
281461732,16
279679037,16
276675536,16
281656539,16
281033900,16
279590007,16
276903993,16
219130823,16
254359798,16
262291501,16
274451499,16
277995553,16
278186486,16
280106776,16
281191305,16
281277455,16
281556663,16
255660493,16
280303491,16
279063124,16
278426834,16
278426848,16
281079101,16
279590003,16
276071568,16
276826421,16
261727090,16
269214882,16
278196419,16
279697670,16
280345711,16
280147244,16
280455731,16
281211137,16
280339125,16
251532003,16
276912003,16
277383286,16
278284041,16
275791043,16
281645573,16
281044019,16
272248630,16
275773024,16
277984346,16
280350841,16
281119494,16
277563911,16
198364821,16
280034763,16
277684769,16
280049080,16
278203704,16
278064062,16
278878518,16
278734321,16
273657016,16
278678804,16
256171355,16
276026829,16
277567823,16
245545451,16
279194327,16
278495220,16
278570981,16
277390773,16
247332424,16
276201035,16
276956961,16
281308224,16
281621538,16
275827709,16
277348501,16
268664929,16
275707709,16
275672298,16
278697928,16
279380844,16
279655849,16
273883540,16
276451725,16
280673260,16
254169028,16
279681914,16
277995569,16
260344455,15.5
281449770,15.5
274329152,15.5
281037284,15.5
280396813,15.5
279062542,15.5
272520045,15.5
260649374,15.5
277874517,15.5
278368630,15.5
273670190,15.5
271611865,15.5
280001170,15.5
279938160,15.5
264367530,15.5
278186531,15.5
276150017,15.5
279892587,15.5
276603676,15.5
277109496,15.5
278785118,15.5
281085627,15.5
277702998,15.5
272248629,15.5
278661025,15.5
278843964,15.5
279724332,15.5
280762842,15.5
278963070,15.5
278974166,15.5
279666528,15.5
279119749,15.5
281402314,15.5
281415018,15.5
281449855,15.5
280480011,15.5
275770030,15.5
236694065,15.5
273694219,15.5
270824778,15.5
272221471,15.5
279564981,15.5
272340156,15.5
280017226,15.5
275062153,15.5
269245214,15.5
275354592,15.5
278876672,15.5
280726936,15.5
279797196,15.5
280783998,15.5
274590003,15.5
277315085,15.5
279418313,15.5
281229963,15.5
281415021,15.5
280367526,15.5
278847210,15.5
281395214,15.5
281619577,15.5
274773188,15.5
281654773,15.5
272248627,15.5
281565722,15.5
272679260,15.5
274053421,15.5
267410959,15.5
278863179,15.5
279565020,15.5
271642790,15.5
280740053,15.5
277895029,15.5
276071379,15.5
280942613,15.5
279801045,15.5
277700032,15.5
276345688,15.5
278563928,15.5
275250004,15.5
278766489,15.5
243452235,15.5
276893238,15.5
271065149,15.5
277740012,15.5
259592851,15.5
277796437,15.5
276099407,15.5
264148881,15.5
249843810,15.5
272741767,15.5
280688590,15.5
277702997,15.5
277984342,15.5
279462147,15.5
280726937,15.5
281087152,15.5
274013568,15.5
255520022,15.5
275376280,15.5
275675513,15.5
281175094,15.5
276988821,15.5
276390429,15.5
266569087,15.5
278063189,15.5
278978794,15.5
281415011,15.5
280072565,19
279996109,19
274214914,19
274578666,19
276095005,19
279444358,19
277280959,19
277796434,19
278372789,19
275190021,19
279758236,19
281600010,19
277023771,19
266925355,19
280070036,19
277796430,19
281655243,19
279946958,19
277796438,19
281523785,19
275821205,19
275939859,19
279546590,19
280820388,19
276727307,19
280255010,19
278468214,19
279794998,19
261968131,19
277123889,19
262464426,19
279775690,19
276375869,19
273308179,19
279814083,19
280366872,19
276634932,19
281087262,19
277287950,19
278087475,19
279267058,19
278992867,19
279165055,19
270949232,19
265498218,19
270949323,19
279564940,19
270949108,19
277219060,19
276345689,19
275869057,19
281174190,19
280912537,19
279396145,19
280420540,19
278019086,19
281157711,19
279648860,19
278293750,19
281442419,19
276897166,19
277065652,19
279469643,19
250965721,19
275200152,19
280005143,19
280440008,19
279707703,19
279017735,19
272310950,19
280781818,19
272492984,19
270949148,19
235926226,15.5
275647991,15
279120054,
278213234,
280825404,15
277609659,18
281357481,18.5
279772479,18.5
281370043,18.5
279198089,18.5
281446605,18.5
281609216,18.5
280769749,18
281533163,18.5
276691008,18.5
280909002,18.5
276194874,18.5
277688720,18.5
281066707,18.5
277329256,18.5
272984951,18.5
279720029,18.5
276819847,18
281653391,18
271806799,18.5
270949297,18.5
281211385,18
277667299,18.5
256770080,18.5
267292833,18
277745104,18
278867761,20
267292774,
280404574,
280400042,20
278739602,18
279494754,19
257488162,19
280391569,19
263733671,18
277190005,19
280919832,18
277912724,18
275760005,18
280220022,18
279881863,18
281618834,18
278450598,18
266525876,19
278511814,20
280632546,20
281383900,20
276777023,20
175023536,20
254267436,20
280163076,20
273917361,20
270094829,20
279968484,20
269679410,20
278181559,20
280556869,20
281460993,20
264114777,20
281330196,18
279616882,18
278222928,18
280439879,18
280094052,18
280550674,18
274110418,18
279979323,18
279383982,18
280100047,18
277300705,18
280992369,18
278981435,18
279612460,18
277899428,18.5
280150050,18
281078413,18
278820184,18
276961136,18
279872527,13
280912230,13
281408507,13
280613427,13
279456305,
272983607,
281033377,
273555956,
281369599,16.4
280496034,16.4
274918250,16
247111378,18
281491286,
249626542,22
275735034,22
280911419,23
272321195,18
281382246,18
280368463,18
239804571,18
278542816,18
275608094,18
279867584,18
279986694,18
280803996,
281106045,18
280189228,13
278181532,13
280847143,13
280278556,13
