model_id,maximum_seating
98730625,7
113350925,7
113570011,
116777561,5
119380498,
120093131,7
121391906,2
121391921,8
121391942,2
121391965,2
121391974,2
121392006,
121392030,2
122347556,2
122695125,7
124194894,2
129522399,7
130180443,2
135167185,2
139280050,7
143538240,5
149447633,5
159524188,2
163819417,6
167673050,7
170241427,7
173051952,7
173385165,7
173789477,7
173904186,7
174088502,5
174270199,9
176078909,2
177492349,7
178190014,7
178991564,8
181002916,7
182267151,7
182782992,8
183454244,6
183491400,5
184002980,5
184550228,7
184924090,5
185122208,5
185148217,5
185255712,8
185871280,2
186225156,6
187400729,15
187475522,5
187948794,5
189310147,5
190182277,5
190841905,4
190848679,7
190943890,2
191134019,7
191134020,7
191134022,7
191146344,5
191621276,5
192268215,5
192660121,5
192720104,7
193700151,7
194112957,2
194144063,5
194225179,7
194372621,5
194740785,7
194740786,7
195153922,5
195760052,6
195871742,5
196063112,5
196119463,7
196267377,8
196572425,
196672360,3
196997884,3
197077844,5
197195603,3
197204207,2
197242429,7
197346340,7
197492567,5
197963110,
197963159,5
198094208,5
198179423,5
198515300,5
198547187,5
198569654,5
199055500,5
199551415,5
199729270,5
199869473,5
200021460,7
200127314,5
200696404,5
200812018,7
201519501,7
201829556,5
202452389,8
202722630,8
202751442,7
202890732,7
202890733,7
202890736,3
202890738,7
202913289,8
202994296,7
202994297,7
202994298,7
202994300,7
202994301,7
202994302,7
202994303,7
202994304,7
203028074,5
203121783,7
203169595,5
203197765,5
203238133,7
203242436,7
203242437,2
203242438,3
203341947,7
203341948,3
203410919,5
203583818,7
203715077,7
203715078,3
203715079,7
203715080,7
203948775,7
203948776,7
203948777,7
203948778,7
203987159,5
204057394,2
204057395,2
204057396,7
204236255,7
204407921,7
204574636,7
204574637,7
204574638,7
204690752,2
204690753,3
204690754,7
204700765,5
204820883,7
204971774,7
205164101,8
205198898,7
205198899,
205198900,7
205323152,7
205649308,5
205682136,7
205683655,8
205690925,8
205860225,7
205860226,7
205885295,5
205962332,5
206100034,7
206250084,2
206344928,
206375688,5
206451475,7
206507026,5
206507959,5
206507984,5
206507985,5
206833440,5
206908322,7
206948339,8
207388797,8
207540116,5
208312735,5
208339684,2
208527841,5
208591679,7
208595081,7
208971819,7
208975453,5
209140139,5
209448928,7
209663760,7
209685270,5
209721391,7
209909335,5
209975717,7
210108528,7
210293425,8
210459010,5
211059795,5
211059827,7
211104557,8
211104558,8
211451420,5
211474805,7
211524523,8
211674152,5
211704698,5
211781505,5
211821302,8
211956474,5
212020049,8
212031832,5
212118093,7
212118160,7
212248205,5
212288181,8
212390687,5
212412995,5
212841064,7
212842204,7
212975316,4
213018404,7
213092136,5
213184933,7
213188970,7
213190431,8
213271060,8
213271068,8
213385473,8
213542804,5
213559939,8
213559961,8
213652774,5
213660943,5
213727741,7
213766292,5
213786689,5
213787239,8
213880029,3
213951103,5
213998504,5
214033498,7
214070377,7
214096590,2
214171480,8
214204887,2
214266330,5
214298183,5
214326293,5
214354773,5
214354785,5
214354787,7
214355255,4
214459769,5
214473333,5
214473336,5
214473343,5
214763505,5
214835958,7
215001682,5
215035566,5
215147587,7
215185274,7
215267418,7
215320083,5
215411621,5
215463188,8
215607123,5
215784557,5
215912841,8
215984108,5
216074459,5
216112874,7
216146086,8
216171244,2
216345359,5
216374125,5
216399445,7
216399457,7
216415571,5
216476391,5
216477904,5
216573538,15
216578383,5
216597850,5
216597853,5
216649027,7
216691606,5
216692714,7
216723314,5
216776196,5
217034022,5
217129117,5
217156657,5
217208735,5
217216877,12
