listing_id,bed_type,bed_length
247453911,,
276011503,Short,
281270601,,
280843948,,77.4
278431466,,77.4
278565439,,
275710682,,
281553948,,77.4
276217468,Regular,
276210043,Long,
279356943,,
277303298,Long,
227309715,,63.7
275710675,,
267953030,,63.7
278353964,Long,
273367244,,
264268316,,77.5
221452987,,
269491988,,
280549953,,
280713984,,
265896255,,60.3
280721682,,60.3
278635677,,60.3
259824979,,60.3
280143119,,60.3
279073394,,60.3
280351516,,60.3
281626687,,60.3
279664460,,60.3
279267241,,60.3
281236279,,
281628117,,
245149394,,60.3
250945717,,60.3
251892275,,60.3
255466578,,60.3
281148628,,60.3
277007338,,60.3
280142046,,
279774566,,60.3
279684330,,60.3
281284540,,
281631222,,
281628119,,
281246196,,
281246194,,
249189414,,60.3
248945464,,60.3
273488227,,60.3
274475116,,60.3
259261037,,60.3
280855993,,60.3
278915125,,60.3
280113674,,60.3
279894776,,60.3
279284202,,
281366846,,
281366842,,
281284312,,
281236277,,
242240253,,60.3
242180717,,60.3
245689387,,60.3
247214197,,60.3
280815699,,60.3
279555609,Short,60.3
269908147,,60.3
279255484,,60.3
278507892,,60.3
281192910,,60.3
280785383,,60.3
281291323,,
281291397,,
281398610,,
281628111,,
251323995,,60.3
251486107,,60.3
248193780,,60.3
273510507,,60.3
248710618,,60.3
262075191,,60.3
278507891,,60.3
278637124,,60.3
280031610,,
279922011,,60.3
279897464,,60.3
279733949,,60.3
281366849,,
281628112,,
281284318,,
281628109,,
240178814,,60.3
261777445,,60.3
281370023,,60.3
281026089,,60.3
249681150,,60.3
252821265,,60.3
273272350,Short,60.3
261418626,,60.3
273435200,,60.3
279456506,,60.3
279548563,,
274941451,,60.3
281284542,,
281291402,,
264001790,,60.3
249985186,,60.3
274246267,,60.3
273281490,,60.3
268519615,,60.3
279225342,,60.3
280581580,,60.3
279155701,,60.3
280822801,,60.3
279684328,,60.3
279577878,,60.3
279081305,,60.3
279764528,,60.3
281366841,,
281246182,,
241622963,,60.3
248696133,,60.3
277060044,,60.3
255826111,,60.3
255821776,,60.3
268533191,,60.3
279479757,,60.3
280987251,,60.3
279020094,,60.3
280276257,,60.3
279913143,,
277536838,,
280012484,,60.3
281291400,,
281246193,,
248934976,,60.3
248183207,,60.3
253984008,,60.3
259148288,,60.3
257237594,,60.3
263200466,,60.3
261748382,,60.3
280581102,,60.3
268818979,,60.3
278770689,,60.3
277167826,,60.3
280822795,,60.3
280014826,,60.3
281290361,,
281263312,,
242898138,,60.3
279446211,Short,60.3
248587523,,60.3
278671634,,60.3
268610262,,60.3
278871781,,60.3
279684607,,60.3
280035262,,60.3
281626684,,60.3
281366848,,
281289476,,
281246181,,
280434687,,60.3
278570410,,60.3
252383673,,60.3
268818991,,60.3
268528073,,60.3
280589764,,
278635900,,
279260431,,60.3
280581582,,60.3
280669893,,60.3
280035249,,60.3
281373985,,
281631230,,
281246180,,
277540581,,60.3
239178509,,60.3
260345282,,60.3
263097928,,60.3
261362202,,60.3
276235653,,60.3
281261788,,
271029537,,60.3
278504137,,60.3
279752730,,60.3
281290883,,
239808394,,60.3
239941957,,60.3
244746083,,60.3
279502325,,60.3
279764530,,60.3
239808403,,60.3
247855098,,60.3
253978963,,60.3
280700610,,60.3
281290882,,
254306065,,60.3
251869222,,60.3
251715601,,60.3
279416181,,60.3
278428034,,60.3
281295244,,
281290878,,
281323665,,
238989278,,60.3
263432942,,60.3
273787038,,60.3
280589766,,60.3
280113672,,60.3
281290879,,
281565256,,
281290358,,
264627663,,60.3
279073392,,60.3
278671265,,60.3
281471652,,
239380400,,60.3
276912071,,60.3
248945453,,60.3
257231272,,60.3
263954371,,60.3
271035653,,60.3
278337824,,60.3
280810540,,60.3
281261783,,
281403833,,
281290360,,
281398614,,
250693420,,60.3
248645623,,60.3
